,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,WEBSITE,Private
0,Glacier Park School,Glacier Park,23700 SE 280th St,98038,-122.02558343,47.35160673,TAHOMA,http://www.tahoma.wednet.edu/SubSite/GPES/index.html,No
1,Rosa Parks School,Rosa Parks,22845 NE Cedar Park Crescent,98053,-122.03485375,47.68473787,LAKE WASHINGTON,http://publicportal.lwsd.org/schools/rosaparks/default2.aspx,No
2,Evergreen School,Evergreen,15201 Meridian Ave N,98133,-122.335278,47.73858666,SHORELINE,http://www.evergreenschool.org/about-evergreen/from-head.shtml,No
3,Seahawks Academy 6-8,Seahawks Academy 6-8,1600 S Columbian Way,98108,-122.31208508,47.56413087,SEATTLE,none,No
4,Family Learning Center,Family Learning Center,2315 173rd Ave NE,98052,-122.10981983,47.63043977,LAKE WASHINGTON,http://washington.schooltree.org/public/Family-Learning-Center-092694.html,No
5,Central Kitchen,Central Kitchen,1344 S 308th St,98003,-122.31913745,47.32578624,FEDERAL WAY,none,No
6,Administrative Building-18th Ave S,"Admin
Admin
Admin",31405 18th Ave S,98003,-122.31115325,47.32026733,FEDERAL WAY,http://www.fwps.org/,No
7,Federal Way Public Academy,Federal Way Public Academy,34620 9th Ave S,98003,-122.32201068,47.29122108,FEDERAL WAY,http://schools.fwps.org/pa/,No
8,Thomsom Early Childhood Center,Thomsom Early Childhood Ctr,7812 S 124th St,98178,-122.23443428,47.49227626,RENTON,http://www.renton.wednet.edu/schools/tecc.htm,No
9,Sunnydale School,Sunnydale,15631 Des Moines Memorial Dr S,98148,-122.32409777,47.46247976,HIGHLINE,http://washington.schooltree.org/public/Sunnydale-Elementary-092507.html,No
10,Lake Washington Technical Academy,LWTA,11605 132nd Ave NE,98034,-122.16688156,47.70461794,LAKE WASHINGTON,http://lwtchost.ctc.edu/programs2/academy2/academy3/,No
11,Administration-50th St,Admin,32240 NE 50th St,98014,-121.90875811,47.65177556,RIVERVIEW,http://www.riverview.wednet.edu/,No
12,Maintenance/Transportation,Maint/Trans,3944 320th NE,98014,-121.91076599,47.64387351,RIVERVIEW,http://www.riverview.wednet.edu/information.htm,No
13,Seattle Christian,Seattle Christian,18301 Military Rd S,98188,-122.27369638,47.43845431,HIGHLINE,http://www.seattlechristian.com/,No
14,Meadow Ridge School,Meadow Ridge,27710 108th Ave SE,98030,-122.19576216,47.35335164,KENT,http://www.kent.k12.wa.us/ksd/MR/,No
