,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,POPULATION,COUNTY,LATITUDE,LONGITUDE,NAICS_DESC,WEBSITE,LEVEL_,ENROLLMENT,Private
0,HOLY FAMILY ELEMENTARY SCHOOL,1002 CHESTNUT ST,CLARKSTON,WA,99403,(509) 758-6621,97,ASOTIN,46.411281766,-117.051146925,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461377,1,89,yes
1,BETHLEHEM LUTHERAN SCHOOL,2505 W 27TH AVE,KENNEWICK,WA,99337,(509) 582-5624,185,BENTON,46.195221974,-119.126913546,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462097,1,174,yes
2,CHILDREN'S GARDEN MONTESSORI,2440 GARLICK BLVD,RICHLAND,WA,99354,(509) 375-1638,45,BENTON,46.319500637,-119.2795059,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9904419,1,42,yes
3,LIBERTY CHRISTIAN SCHOOL,2200 WILLIAMS BLVD,RICHLAND,WA,99354,(509) 946-0602,392,BENTON,46.285753159,-119.300262888,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01912978,3,362,yes
4,CHILDRENS GATE MONTESSORI SCHOOL,1425 CHERRY ST,WENATCHEE,WA,98801,(509) 886-0533,8,CHELAN,47.415092923,-120.336569302,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504348,1,5,yes
5,THE RIVER ACADEMY,650 CRAWFORD AVE,WENATCHEE,WA,98801,(509) 665-2415,222,CHELAN,47.404729961,-120.314960788,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110177,3,204,yes
6,ST JOSEPH SCHOOL-WENATCHEE,600 SAINT JOSEPH PL,WENATCHEE,WA,98801,(509) 663-2644,169,CHELAN,47.416328402,-120.33333488,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461446,1,159,yes
7,ST PAUL'S LUTHERAN SCHOOL,312 PALOUSE ST,WENATCHEE,WA,98801,(509) 662-4757,67,CHELAN,47.424164264,-120.317151325,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106858,1,61,yes
8,MOUNTAIN CHRISTIAN SCHOOL,255 MEDSKER RD,SEQUIM,WA,98382,(360) 683-6170,18,CLALLAM,48.102152903,-123.096492375,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01464028,1,17,yes
9,QUEEN OF ANGELS SCHOOL,1007 S OAK ST,PORT ANGELES,WA,98362,(360) 457-6903,112,CLALLAM,48.111599743,-123.442427453,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460792,1,103,yes
10,OLYMPIC CHRISTIAN SCHOOL,43 OBRIEN RD,PORT ANGELES,WA,98362,(360) 457-4640,71,CLALLAM,48.095683651,-123.301148242,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9301033,1,65,yes
11,FIVE ACRE SCHOOL,515 LOTZGESELL RD,SEQUIM,WA,98382,(360) 681-7255,50,CLALLAM,48.131737679,-123.188067671,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703538,1,45,yes
12,COLUMBIA ADVENTIST ACADEMY,11100 NE 189TH ST,BATTLE GROUND,WA,98604,(360) 687-3161,112,CLARK,45.758879186,-122.558655369,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463931,2,101,yes
13,KINGS WAY CHRISTIAN SCHOOLS,3300 NE 78TH ST,VANCOUVER,WA,98665,(360) 816-1299,803,CLARK,45.679581126,-122.637477118,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01645627,3,754,yes
14,ST JOSEPH CATHOLIC SCHOOL,6500 HIGHLAND DR,VANCOUVER,WA,98661,(360) 696-2586,326,CLARK,45.617840125,-122.604923384,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460282,1,304,yes
15,MEADOW GLADE ADVENTIST ELEMENTARY SCHOOL,18717 NE 109TH AVE,BATTLE GROUND,WA,98604,(360) 687-5121,325,CLARK,45.757708037,-122.560214283,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01464276,1,309,yes
16,CASCADIA SCHOOL,10606 NE 14TH ST,VANCOUVER,WA,98664,(360) 944-8096,82,CLARK,45.632337389,-122.564107958,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110104,1,77,yes
17,THE GARDNER SCHOOL OF ARTS & SCIENCES,16413 NE 50TH AVE,VANCOUVER,WA,98686,(360) 574-5752,111,CLARK,45.73994925,-122.620371212,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703539,1,94,yes
18,HOSANNA CHRISTIAN SCHOOL,4120 NE ST JOHNS RD,VANCOUVER,WA,98661,(360) 906-0941,95,CLARK,45.651587333,-122.637480066,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110132,3,87,yes
19,KNOWLEDGE BEGINNINGS,2907 SE 162ND AVE,VANCOUVER,WA,98684,(360) 944-8990,30,CLARK,45.599281137,-122.50540568,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0308136,1,8,yes
